id_pedido,id_cliente,razao_social_cliente,cnpj_cliente,representante,cod_produto,desc_produto,quantidade,preco_unitario,valor_total_item,nf,data_emissao_pedido,data_desejada_entrega,data_firmada_original,data_firmada_atual,data_final_entrega,data_nf,data_nf_oficial,data_embarque,data_emb_oficial,tipo_faturamento,transportadora,condicao_pagamento,valor_geral_pedido
2900,46201,Costa Ltda.,91.062.438/0001-50,Anna Liz Albuquerque,"('28NZFGQ7Z',)",KIT VENTILACAO,8,821.64,6573.12,287288,2025-04-24,2025-05-13,2025-05-13,2025-05-13,2025-05-20,2025-04-25,2025-04-25,2025-04-29,2025-04-29,AMOSTRA,das Neves da Costa e Filhos TRANSPORTES LTDA,CARTEIRA A VISTA,6573.12
2901,22632,Vasconcelos da Conceição Ltda.,73.214.569/0001-23,Caleb Sousa,"('28NZFGQ7Z',)",KIT VENTILACAO,3,753.46,2260.38,110483,2025-06-11,2025-06-25,2025-07-06,2025-07-06,2025-07-19,2025-06-12,2025-06-12,2025-06-15,2025-06-15,VENDA,Cavalcanti TRANSPORTES LTDA,CARTEIRA A VISTA,2260.38
2902,24584,Castro,34.278.905/0001-40,Srta. Ana Sophia Cardoso,"('28NZFGQ7Z',)",KIT VENTILACAO,4,370.29,1481.16,676307,2023-09-03,2023-10-17,2023-10-17,2023-10-17,2023-10-17,2023-09-11,2023-09-11,2023-09-14,2023-09-14,AMOSTRA,Almeida S.A. TRANSPORTES LTDA,BOLETO DESCONTADO,1481.16
2903,53398,Gomes,24.713.698/0001-50,Paulo Martins,"('28NZFGQ7Z',)",KIT VENTILACAO,7,125.73,880.11,466790,2023-11-24,2024-01-21,2024-01-26,2024-01-26,2024-02-21,2023-11-29,2023-11-29,2023-12-01,2023-12-01,DEVOLUCAO,Mendes Duarte - EI TRANSPORTES LTDA,CARTEIRA A PRAZO,880.11
2904,23879,Gonçalves,86.213.459/0001-99,Eduarda Ribeiro,"('28NZFGQ7Z',)",KIT VENTILACAO,4,683.15,2732.6,320159,2023-12-07,2023-12-12,2023-12-15,2023-12-15,2023-12-27,2023-12-12,2023-12-12,2023-12-17,2023-12-17,AMOSTRA,Carvalho TRANSPORTES LTDA,BOLETO DESCONTADO,2732.6
2905,87209,Casa Grande,62.037.158/0001-93,Breno Martins,"('28NZFGQ7Z',)",KIT VENTILACAO,6,323.51,1941.06,612924,2024-01-28,2024-02-16,2024-03-02,2024-03-02,2024-03-12,2024-02-04,2024-02-04,2024-02-08,2024-02-08,AMOSTRA,Vargas e Filhos TRANSPORTES LTDA,CARTAO DE CREDITO,1941.06
2906,19171,Martins Viana e Filhos,86.251.709/0001-85,Paulo Almeida,"('28NZFGQ7Z',)",KIT VENTILACAO,2,30.4,60.8,215141,2024-02-05,2024-04-01,2024-04-13,2024-04-13,2024-04-15,2024-02-14,2024-02-14,2024-02-15,2024-02-15,AMOSTRA,Moraes TRANSPORTES LTDA,BOLETO DESCONTADO,60.8
2907,19950,da Cunha,09.516.847/0001-06,Maria Luiza Souza,"('28NZFGQ7Z',)",KIT VENTILACAO,9,544.69,4902.21,538074,2024-03-20,2024-04-23,2024-04-26,2024-04-26,2024-05-12,2024-03-27,2024-03-27,2024-03-29,2024-03-29,AMOSTRA,Sampaio TRANSPORTES LTDA,CARTAO DE CREDITO,4902.21
2908,76756,Ribeiro Melo - ME,13.754.628/0001-24,Igor da Conceição,"('28NZFGQ7Z',)",KIT VENTILACAO,3,846.6,2539.8,585595,2024-03-17,2024-05-13,2024-05-20,2024-05-20,2024-06-08,2024-03-20,2024-03-20,2024-03-23,2024-03-23,BONIFICACAO,Freitas S.A. TRANSPORTES LTDA,CARTAO DE CREDITO,2539.8
2909,84790,Machado,32.576.810/0001-87,Juan Cavalcanti,"('28NZFGQ7Z',)",KIT VENTILACAO,4,669.45,2677.8,728384,2023-08-04,2023-10-01,2023-10-06,2023-10-06,2023-11-04,2023-08-12,2023-08-12,2023-08-15,2023-08-15,AMOSTRA,da Rosa TRANSPORTES LTDA,BOLETO DESCONTADO,2677.8
2910,90597,Teixeira,47.386.021/0001-50,Luiz Felipe Rios,"('28NZFGQ7Z',)",KIT VENTILACAO,8,747.47,5979.76,287569,2025-04-03,2025-05-15,2025-05-15,2025-05-15,2025-06-06,2025-04-05,2025-04-05,2025-04-07,2025-04-07,VENDA,Siqueira TRANSPORTES LTDA,TRANSFERENCIA,5979.76
2911,96745,Montenegro - EI,84.670.125/0001-19,Thiago Costa,"('28NZFGQ7Z',)",KIT VENTILACAO,2,167.37,334.74,623126,2024-03-03,2024-03-30,2024-04-13,2024-04-13,2024-04-15,2024-03-09,2024-03-09,2024-03-12,2024-03-12,VENDA,Gonçalves TRANSPORTES LTDA,TRANSFERENCIA,334.74
2912,96517,Abreu,39.015.824/0001-70,Eloah Abreu,"('28NZFGQ7Z',)",KIT VENTILACAO,5,355.08,1775.4,622639,2024-01-25,2024-02-01,2024-02-16,2024-02-16,2024-02-26,2024-01-31,2024-01-31,2024-02-01,2024-02-01,AMOSTRA,Vieira Fernandes Ltda. TRANSPORTES LTDA,CARTAO DE CREDITO,1775.4
2913,16037,Montenegro,40.162.839/0001-40,Isabella Freitas,"('28NZFGQ7Z',)",KIT VENTILACAO,9,242.04,2178.36,200583,2025-06-28,2025-08-07,2025-08-17,2025-08-17,2025-08-30,2025-06-29,2025-06-29,2025-07-03,2025-07-03,BONIFICACAO,Teixeira TRANSPORTES LTDA,BOLETO DESCONTADO,2178.36
2914,70556,Costa,02.189.546/0001-68,Sr. Luiz Fernando Carvalho,"('28NZFGQ7Z',)",KIT VENTILACAO,3,593.48,1780.44,286410,2023-10-28,2023-11-06,2023-11-20,2023-11-20,2023-12-15,2023-10-29,2023-10-29,2023-10-30,2023-10-30,BONIFICACAO,Mendonça TRANSPORTES LTDA,CARTEIRA A VISTA,1780.44
2915,91945,Rezende,20.754.869/0001-39,Davi Luiz Fernandes,"('28NZFGQ7Z',)",KIT VENTILACAO,4,216.04,864.16,925533,2025-02-08,2025-02-16,2025-02-16,2025-02-16,2025-02-24,2025-02-13,2025-02-13,2025-02-18,2025-02-18,DEVOLUCAO,Novais TRANSPORTES LTDA,TRANSFERENCIA,864.16
2916,74154,Monteiro e Filhos,80.349.576/0001-06,Sr. Valentim Lopes,"('28NZFGQ7Z',)",KIT VENTILACAO,10,925.08,9250.8,265571,2024-05-10,2024-06-06,2024-06-11,2024-06-11,2024-06-13,2024-05-17,2024-05-17,2024-05-18,2024-05-18,BONIFICACAO,Nogueira Vargas S.A. TRANSPORTES LTDA,CARTAO DE CREDITO,9250.8
2917,66486,Oliveira,78.194.026/0001-05,Vitor Gabriel Vieira,"('28NZFGQ7Z',)",KIT VENTILACAO,6,288.57,1731.42,426128,2023-12-18,2024-02-04,2024-02-12,2024-02-12,2024-02-23,2023-12-27,2023-12-27,2023-12-30,2023-12-30,DEVOLUCAO,Ribeiro - ME TRANSPORTES LTDA,CARTAO DE CREDITO,1731.42
2918,13223,Nogueira Pacheco S.A.,27.189.653/0001-17,Heitor Brito,"('28NZFGQ7Z',)",KIT VENTILACAO,4,686.75,2747.0,655807,2025-03-26,2025-04-28,2025-04-28,2025-04-28,2025-04-29,2025-04-03,2025-04-03,2025-04-04,2025-04-04,DEVOLUCAO,Correia Lopes - ME TRANSPORTES LTDA,CARTEIRA A VISTA,2747.0
2919,98119,da Luz,92.845.631/0001-20,Evelyn Ramos,"('28NZFGQ7Z',)",KIT VENTILACAO,5,748.39,3741.95,373124,2023-10-10,2023-11-12,2023-11-17,2023-11-17,2023-12-01,2023-10-13,2023-10-13,2023-10-14,2023-10-14,DEVOLUCAO,Fogaça Fernandes S/A TRANSPORTES LTDA,CARTEIRA A PRAZO,3741.95
2920,87346,Novais,62.593.407/0001-27,Rhavi Fonseca,"('28NZFGQ7Z',)",KIT VENTILACAO,1,294.17,294.17,896463,2023-12-06,2024-01-26,2024-02-05,2024-02-05,2024-02-09,2023-12-13,2023-12-13,2023-12-15,2023-12-15,DEVOLUCAO,da Luz TRANSPORTES LTDA,CARTEIRA A VISTA,294.17
2921,35321,Cassiano da Cruz S.A.,30.475.129/0001-17,Maria Lima,"('28NZFGQ7Z',)",KIT VENTILACAO,8,322.97,2583.76,321544,2023-08-21,2023-10-03,2023-10-09,2023-10-09,2023-10-17,2023-08-24,2023-08-24,2023-08-25,2023-08-25,DEVOLUCAO,Barros TRANSPORTES LTDA,CARTEIRA A PRAZO,2583.76
2922,87346,Novais,62.593.407/0001-27,Rhavi Fonseca,"('28NZFGQ7Z',)",KIT VENTILACAO,2,845.76,1691.52,810742,2024-06-20,2024-08-05,2024-08-18,2024-08-18,2024-09-11,2024-06-22,2024-06-22,2024-06-27,2024-06-27,AMOSTRA,Pacheco - ME TRANSPORTES LTDA,CARTEIRA A VISTA,1691.52
2923,20437,Costa Ltda.,97.048.165/0001-75,Caleb Abreu,"('28NZFGQ7Z',)",KIT VENTILACAO,9,344.15,3097.35,627226,2024-01-04,2024-01-18,2024-01-29,2024-01-29,2024-02-12,2024-01-09,2024-01-09,2024-01-10,2024-01-10,DEVOLUCAO,Correia TRANSPORTES LTDA,CARTAO DE CREDITO,3097.35
2924,58940,Siqueira,71.496.258/0001-79,Sra. Pietra Moura,"('28NZFGQ7Z',)",KIT VENTILACAO,10,964.47,9644.7,509632,2024-04-25,2024-06-06,2024-06-14,2024-06-14,2024-07-09,2024-04-29,2024-04-29,2024-04-30,2024-04-30,DEVOLUCAO,Vargas TRANSPORTES LTDA,CARTEIRA A PRAZO,9644.7
2925,73681,Borges S/A,63.805.924/0001-85,Srta. Ester Vieira,"('28NZFGQ7Z',)",KIT VENTILACAO,10,427.54,4275.4,509046,2024-01-26,2024-02-22,2024-02-26,2024-02-26,2024-02-26,2024-02-01,2024-02-01,2024-02-06,2024-02-06,DEVOLUCAO,Camargo TRANSPORTES LTDA,PIX,4275.4
2926,76080,Rodrigues - ME,42.903.871/0001-65,José Costa,"('28NZFGQ7Z',)",KIT VENTILACAO,1,115.27,115.27,780293,2025-02-22,2025-04-20,2025-04-22,2025-04-22,2025-04-30,2025-03-03,2025-03-03,2025-03-05,2025-03-05,DEVOLUCAO,Alves - ME TRANSPORTES LTDA,CARTAO DE CREDITO,115.27
2927,82665,Caldeira,73.416.528/0001-10,Luiz Miguel Pimenta,"('28NZFGQ7Z',)",KIT VENTILACAO,3,497.05,1491.15,218309,2023-12-26,2024-02-16,2024-02-21,2024-02-21,2024-03-22,2024-01-01,2024-01-01,2024-01-06,2024-01-06,AMOSTRA,Rodrigues TRANSPORTES LTDA,BOLETO DESCONTADO,1491.15
2928,59198,das Neves,59.461.083/0001-69,Dra. Ana Liz Moura,"('28NZFGQ7Z',)",KIT VENTILACAO,3,349.73,1049.19,947360,2024-10-07,2024-11-05,2024-11-07,2024-11-07,2024-11-26,2024-10-15,2024-10-15,2024-10-17,2024-10-17,DEVOLUCAO,Montenegro Macedo S.A. TRANSPORTES LTDA,CARTEIRA A VISTA,1049.19
2929,77272,Moraes S/A,57.926.318/0001-15,Luna Rezende,"('28NZFGQ7Z',)",KIT VENTILACAO,7,517.62,3623.34,428890,2023-10-04,2023-12-03,2023-12-09,2023-12-09,2024-01-03,2023-10-12,2023-10-12,2023-10-17,2023-10-17,AMOSTRA,Sousa Gomes - EI TRANSPORTES LTDA,PIX,3623.34
2930,28850,Barros Pinto e Filhos,60.312.547/0001-54,Olivia Ramos,"('28NZFGQ7Z',)",KIT VENTILACAO,9,952.1,8568.9,122959,2025-02-21,2025-04-22,2025-05-05,2025-05-05,2025-05-28,2025-02-26,2025-02-26,2025-03-03,2025-03-03,VENDA,Correia TRANSPORTES LTDA,CARTEIRA A VISTA,8568.9
2931,27077,Castro,42.301.978/0001-33,Lavínia Lima,"('28NZFGQ7Z',)",KIT VENTILACAO,10,740.13,7401.3,732547,2025-04-07,2025-04-16,2025-04-17,2025-04-17,2025-05-04,2025-04-16,2025-04-16,2025-04-20,2025-04-20,BONIFICACAO,Rios Sampaio - ME TRANSPORTES LTDA,PIX,7401.3
2932,86489,Ferreira,34.592.178/0001-90,Davi Lucca Pastor,"('28NZFGQ7Z',)",KIT VENTILACAO,2,132.7,265.4,452956,2025-04-29,2025-06-24,2025-07-07,2025-07-07,2025-07-26,2025-05-09,2025-05-09,2025-05-12,2025-05-12,DEVOLUCAO,Casa Grande TRANSPORTES LTDA,CARTEIRA A VISTA,265.4
2933,55247,Martins e Filhos,79.856.032/0001-43,Hadassa Lopes,"('28NZFGQ7Z',)",KIT VENTILACAO,10,140.13,1401.3,108827,2025-06-15,2025-07-28,2025-07-31,2025-07-31,2025-08-25,2025-06-18,2025-06-18,2025-06-20,2025-06-20,DEVOLUCAO,Gonçalves TRANSPORTES LTDA,BOLETO DESCONTADO,1401.3
2934,84116,da Rocha,25.497.810/0001-26,Maria Fernanda das Neves,"('28NZFGQ7Z',)",KIT VENTILACAO,8,306.8,2454.4,821313,2025-01-24,2025-03-20,2025-03-20,2025-03-20,2025-03-24,2025-01-27,2025-01-27,2025-01-31,2025-01-31,BONIFICACAO,Pereira - ME TRANSPORTES LTDA,TRANSFERENCIA,2454.4
2935,57021,da Cruz - EI,76.298.341/0001-57,Luiz Otávio Campos,"('28NZFGQ7Z',)",KIT VENTILACAO,1,681.39,681.39,237692,2024-01-14,2024-02-24,2024-03-08,2024-03-08,2024-03-21,2024-01-20,2024-01-20,2024-01-22,2024-01-22,BONIFICACAO,da Rosa TRANSPORTES LTDA,TRANSFERENCIA,681.39
2936,54771,Vieira,98.135.240/0001-06,Aylla Nascimento,"('28NZFGQ7Z',)",KIT VENTILACAO,7,994.4,6960.8,272668,2024-03-20,2024-05-18,2024-05-20,2024-05-20,2024-06-07,2024-03-24,2024-03-24,2024-03-28,2024-03-28,AMOSTRA,Borges S/A TRANSPORTES LTDA,CARTAO DE CREDITO,6960.8
2937,77272,Moraes S/A,57.926.318/0001-15,Luna Rezende,"('28NZFGQ7Z',)",KIT VENTILACAO,5,375.32,1876.6,448596,2023-09-21,2023-11-06,2023-11-10,2023-11-10,2023-12-01,2023-09-24,2023-09-24,2023-09-25,2023-09-25,VENDA,Cirino TRANSPORTES LTDA,CARTEIRA A PRAZO,1876.6
2938,27500,Alves,83.715.024/0001-54,Vitor da Costa,"('28NZFGQ7Z',)",KIT VENTILACAO,6,311.61,1869.66,844383,2023-11-19,2024-01-07,2024-01-19,2024-01-19,2024-02-11,2023-11-23,2023-11-23,2023-11-27,2023-11-27,BONIFICACAO,Correia TRANSPORTES LTDA,PIX,1869.66
2939,75418,Siqueira,23.894.156/0001-69,Benício Albuquerque,"('28NZFGQ7Z',)",KIT VENTILACAO,4,152.78,611.12,142692,2025-03-01,2025-03-06,2025-03-19,2025-03-19,2025-03-29,2025-03-06,2025-03-06,2025-03-10,2025-03-10,AMOSTRA,Correia Viana - EI TRANSPORTES LTDA,CARTAO DE CREDITO,611.12
2940,58054,da Luz,14.973.526/0001-62,Dra. Rafaela Leão,"('28NZFGQ7Z',)",KIT VENTILACAO,8,802.5,6420.0,358860,2024-03-16,2024-04-06,2024-04-09,2024-04-09,2024-04-19,2024-03-17,2024-03-17,2024-03-20,2024-03-20,BONIFICACAO,Camargo S.A. TRANSPORTES LTDA,BOLETO DESCONTADO,6420.0
2941,19171,Martins Viana e Filhos,86.251.709/0001-85,Paulo Almeida,"('28NZFGQ7Z',)",KIT VENTILACAO,8,142.18,1137.44,201968,2023-11-30,2023-12-10,2023-12-22,2023-12-22,2024-01-11,2023-12-02,2023-12-02,2023-12-03,2023-12-03,DEVOLUCAO,Sales Oliveira Ltda. TRANSPORTES LTDA,CARTEIRA A VISTA,1137.44
2942,48505,Costela - ME,02.951.734/0001-81,Breno Costela,"('28NZFGQ7Z',)",KIT VENTILACAO,7,18.3,128.1,954671,2025-01-28,2025-03-22,2025-04-03,2025-04-03,2025-04-21,2025-02-01,2025-02-01,2025-02-02,2025-02-02,BONIFICACAO,Sales TRANSPORTES LTDA,CARTEIRA A PRAZO,128.1
2943,24446,Moreira Macedo - ME,37.548.169/0001-90,Raquel Lopes,"('28NZFGQ7Z',)",KIT VENTILACAO,9,244.09,2196.81,284405,2025-01-11,2025-01-31,2025-02-04,2025-02-04,2025-03-06,2025-01-18,2025-01-18,2025-01-20,2025-01-20,AMOSTRA,Nogueira S/A TRANSPORTES LTDA,PIX,2196.81
2944,20575,Freitas Melo - ME,80.429.576/0001-08,Lívia Pinto,"('28NZFGQ7Z',)",KIT VENTILACAO,9,75.99,683.91,474598,2025-05-05,2025-05-22,2025-05-27,2025-05-27,2025-06-02,2025-05-09,2025-05-09,2025-05-12,2025-05-12,DEVOLUCAO,das Neves TRANSPORTES LTDA,PIX,683.91
2945,22935,da Costa,78.410.392/0001-54,Brenda Pastor,"('28NZFGQ7Z',)",KIT VENTILACAO,5,364.75,1823.75,833400,2024-06-28,2024-07-13,2024-07-17,2024-07-17,2024-07-21,2024-06-30,2024-06-30,2024-07-02,2024-07-02,VENDA,Leão TRANSPORTES LTDA,PIX,1823.75
2946,79786,da Mota,23.096.451/0001-70,Caroline Ribeiro,"('28NZFGQ7Z',)",KIT VENTILACAO,10,444.16,4441.6,922239,2023-08-05,2023-08-18,2023-08-25,2023-08-25,2023-09-21,2023-08-08,2023-08-08,2023-08-10,2023-08-10,BONIFICACAO,Camargo Jesus Ltda. TRANSPORTES LTDA,PIX,4441.6
2947,86078,Jesus,75.218.436/0001-50,Maya Brito,"('28NZFGQ7Z',)",KIT VENTILACAO,5,259.69,1298.45,233759,2023-10-30,2023-12-10,2023-12-13,2023-12-13,2023-12-13,2023-11-02,2023-11-02,2023-11-05,2023-11-05,DEVOLUCAO,Jesus TRANSPORTES LTDA,PIX,1298.45
2948,79862,Vargas,43.190.768/0001-88,Rodrigo Duarte,"('28NZFGQ7Z',)",KIT VENTILACAO,1,517.71,517.71,470523,2024-04-16,2024-06-08,2024-06-12,2024-06-12,2024-07-12,2024-04-18,2024-04-18,2024-04-22,2024-04-22,AMOSTRA,Ferreira TRANSPORTES LTDA,CARTAO DE CREDITO,517.71
2949,10494,Silveira,73.152.064/0001-81,Leandro Fogaça,"('28NZFGQ7Z',)",KIT VENTILACAO,10,436.18,4361.8,270965,2024-12-05,2025-01-12,2025-01-13,2025-01-13,2025-01-18,2024-12-14,2024-12-14,2024-12-15,2024-12-15,VENDA,Cirino TRANSPORTES LTDA,BOLETO DESCONTADO,4361.8
2950,98856,Fonseca,73.962.451/0001-83,Maria Julia Castro,"('28NZFGQ7Z',)",KIT VENTILACAO,8,626.91,5015.28,556024,2023-09-30,2023-11-10,2023-11-10,2023-11-10,2023-11-10,2023-10-08,2023-10-08,2023-10-12,2023-10-12,VENDA,da Paz Nogueira Ltda. TRANSPORTES LTDA,PIX,5015.28
2951,47521,Campos,43.627.018/0001-20,Gabriel Gonçalves,"('28NZFGQ7Z',)",KIT VENTILACAO,4,767.27,3069.08,666006,2024-08-17,2024-09-14,2024-09-22,2024-09-22,2024-10-05,2024-08-26,2024-08-26,2024-08-29,2024-08-29,DEVOLUCAO,Abreu S.A. TRANSPORTES LTDA,BOLETO DESCONTADO,3069.08
2952,27092,Câmara das Neves - ME,03.479.561/0001-03,Ian da Rocha,"('28NZFGQ7Z',)",KIT VENTILACAO,5,922.2,4611.0,760350,2024-10-31,2024-12-08,2024-12-23,2024-12-23,2025-01-22,2024-11-06,2024-11-06,2024-11-09,2024-11-09,BONIFICACAO,Barbosa Camargo - ME TRANSPORTES LTDA,CARTEIRA A VISTA,4611.0
2953,36883,Santos,90.847.132/0001-46,Natália Pires,"('28NZFGQ7Z',)",KIT VENTILACAO,1,647.29,647.29,473063,2024-05-14,2024-06-16,2024-06-25,2024-06-25,2024-07-10,2024-05-23,2024-05-23,2024-05-27,2024-05-27,BONIFICACAO,Fonseca TRANSPORTES LTDA,CARTAO DE CREDITO,647.29
2954,57242,Rios,37.049.621/0001-70,Emanuella Fogaça,"('28NZFGQ7Z',)",KIT VENTILACAO,3,955.1,2865.3,156054,2024-01-28,2024-03-26,2024-03-31,2024-03-31,2024-04-26,2024-01-31,2024-01-31,2024-02-05,2024-02-05,DEVOLUCAO,Casa Grande TRANSPORTES LTDA,BOLETO DESCONTADO,2865.3
2955,70912,Lima,95.413.826/0001-99,Alícia Jesus,"('28NZFGQ7Z',)",KIT VENTILACAO,1,337.55,337.55,545574,2024-09-09,2024-09-18,2024-10-02,2024-10-02,2024-10-22,2024-09-14,2024-09-14,2024-09-17,2024-09-17,DEVOLUCAO,Rios TRANSPORTES LTDA,CARTEIRA A PRAZO,337.55
2956,83430,Jesus S.A.,45.923.810/0001-58,Sophie Rocha,"('28NZFGQ7Z',)",KIT VENTILACAO,6,634.82,3808.92,115825,2024-02-08,2024-03-30,2024-04-07,2024-04-07,2024-04-29,2024-02-15,2024-02-15,2024-02-17,2024-02-17,AMOSTRA,Nascimento Ltda. TRANSPORTES LTDA,CARTEIRA A PRAZO,3808.92
2957,94515,Caldeira,05.718.964/0001-93,Henry Montenegro,"('28NZFGQ7Z',)",KIT VENTILACAO,3,257.44,772.32,283204,2024-02-03,2024-03-09,2024-03-15,2024-03-15,2024-04-03,2024-02-08,2024-02-08,2024-02-11,2024-02-11,VENDA,Rodrigues Sampaio S.A. TRANSPORTES LTDA,CARTEIRA A VISTA,772.32
2958,79862,Vargas,43.190.768/0001-88,Rodrigo Duarte,"('28NZFGQ7Z',)",KIT VENTILACAO,2,865.05,1730.1,517950,2024-12-10,2025-02-04,2025-02-09,2025-02-09,2025-03-09,2024-12-16,2024-12-16,2024-12-21,2024-12-21,BONIFICACAO,Montenegro e Filhos TRANSPORTES LTDA,TRANSFERENCIA,1730.1
2959,62460,Andrade,67.230.954/0001-61,Dra. Anna Liz Almeida,"('28NZFGQ7Z',)",KIT VENTILACAO,3,446.51,1339.53,205927,2025-05-31,2025-07-07,2025-07-13,2025-07-13,2025-07-17,2025-06-09,2025-06-09,2025-06-14,2025-06-14,VENDA,Rezende TRANSPORTES LTDA,CARTAO DE CREDITO,1339.53
2960,22161,Vieira e Filhos,81.273.690/0001-54,Lucas Camargo,"('28NZFGQ7Z',)",KIT VENTILACAO,10,340.33,3403.3,974898,2023-07-18,2023-07-29,2023-08-04,2023-08-04,2023-08-27,2023-07-20,2023-07-20,2023-07-21,2023-07-21,VENDA,da Rocha TRANSPORTES LTDA,BOLETO DESCONTADO,3403.3
2961,86707,Campos,34.516.280/0001-07,Luan Rezende,"('28NZFGQ7Z',)",KIT VENTILACAO,5,283.73,1418.65,536146,2025-01-01,2025-01-22,2025-01-26,2025-01-26,2025-02-24,2025-01-03,2025-01-03,2025-01-06,2025-01-06,DEVOLUCAO,Andrade Ltda. TRANSPORTES LTDA,CARTEIRA A VISTA,1418.65
2962,74068,Andrade,84.071.253/0001-46,Maria Luísa Moraes,"('28NZFGQ7Z',)",KIT VENTILACAO,6,444.29,2665.74,332494,2025-04-18,2025-06-16,2025-06-26,2025-06-26,2025-07-10,2025-04-20,2025-04-20,2025-04-23,2025-04-23,DEVOLUCAO,Cunha da Luz - EI TRANSPORTES LTDA,CARTEIRA A VISTA,2665.74
2963,56323,Rezende e Filhos,63.018.975/0001-67,Laís Freitas,"('28NZFGQ7Z',)",KIT VENTILACAO,9,560.66,5045.94,436147,2024-02-18,2024-03-29,2024-04-11,2024-04-11,2024-04-28,2024-02-22,2024-02-22,2024-02-24,2024-02-24,DEVOLUCAO,Machado e Filhos TRANSPORTES LTDA,CARTEIRA A PRAZO,5045.94
2964,17551,Guerra - EI,63.182.509/0001-12,Yan Sá,"('28NZFGQ7Z',)",KIT VENTILACAO,7,169.7,1187.9,432439,2025-02-24,2025-03-19,2025-03-27,2025-03-27,2025-04-15,2025-03-04,2025-03-04,2025-03-06,2025-03-06,DEVOLUCAO,Alves Moura - EI TRANSPORTES LTDA,PIX,1187.9
2965,31360,da Cruz Ltda.,42.581.397/0001-00,Marina Garcia,"('28NZFGQ7Z',)",KIT VENTILACAO,9,691.05,6219.45,362711,2024-08-11,2024-10-10,2024-10-13,2024-10-13,2024-10-30,2024-08-17,2024-08-17,2024-08-20,2024-08-20,DEVOLUCAO,Monteiro TRANSPORTES LTDA,TRANSFERENCIA,6219.45
2966,20604,Abreu,12.498.706/0001-04,Natália Dias,"('28NZFGQ7Z',)",KIT VENTILACAO,3,893.27,2679.81,447683,2023-10-22,2023-11-08,2023-11-10,2023-11-10,2023-12-03,2023-10-28,2023-10-28,2023-10-30,2023-10-30,VENDA,Camargo das Neves - EI TRANSPORTES LTDA,PIX,2679.81
2967,57582,da Rocha e Filhos,28.340.791/0001-18,Isabelly Novais,"('28NZFGQ7Z',)",KIT VENTILACAO,6,32.27,193.62,100694,2025-02-22,2025-03-19,2025-03-22,2025-03-22,2025-04-13,2025-02-27,2025-02-27,2025-03-01,2025-03-01,VENDA,Barros Costa S.A. TRANSPORTES LTDA,CARTAO DE CREDITO,193.62
2968,85762,Nogueira,91.753.248/0001-89,Valentina Gomes,"('28NZFGQ7Z',)",KIT VENTILACAO,8,576.8,4614.4,233781,2023-09-28,2023-11-17,2023-11-30,2023-11-30,2023-11-30,2023-10-03,2023-10-03,2023-10-07,2023-10-07,DEVOLUCAO,Teixeira Martins S.A. TRANSPORTES LTDA,CARTEIRA A VISTA,4614.4
2969,80095,Vasconcelos Jesus - ME,90.435.126/0001-81,Manuela Nogueira,"('28NZFGQ7Z',)",KIT VENTILACAO,1,833.24,833.24,434579,2023-10-13,2023-11-14,2023-11-23,2023-11-23,2023-11-29,2023-10-19,2023-10-19,2023-10-20,2023-10-20,VENDA,Ribeiro TRANSPORTES LTDA,CARTEIRA A VISTA,833.24
2970,66803,Camargo Ltda.,91.342.507/0001-89,Renan Pinto,"('28NZFGQ7Z',)",KIT VENTILACAO,1,387.02,387.02,153878,2025-02-05,2025-03-03,2025-03-15,2025-03-15,2025-04-14,2025-02-07,2025-02-07,2025-02-11,2025-02-11,VENDA,da Cruz Santos S.A. TRANSPORTES LTDA,CARTEIRA A PRAZO,387.02
2971,48546,Cavalcanti,20.389.457/0001-47,Miguel Cavalcanti,"('28NZFGQ7Z',)",KIT VENTILACAO,6,996.66,5979.96,745372,2024-06-28,2024-07-14,2024-07-22,2024-07-22,2024-08-15,2024-06-30,2024-06-30,2024-07-02,2024-07-02,VENDA,Camargo TRANSPORTES LTDA,PIX,5979.96
2972,64978,Almeida,95.603.184/0001-90,Maria Fernanda Marques,"('28NZFGQ7Z',)",KIT VENTILACAO,5,241.97,1209.85,778686,2023-11-20,2023-12-23,2023-12-28,2023-12-28,2024-01-21,2023-11-27,2023-11-27,2023-11-30,2023-11-30,AMOSTRA,Freitas TRANSPORTES LTDA,BOLETO DESCONTADO,1209.85
2973,79519,Souza Albuquerque - EI,01.384.572/0001-84,Henry Novais,"('28NZFGQ7Z',)",KIT VENTILACAO,10,37.65,376.5,709468,2023-10-17,2023-11-17,2023-11-21,2023-11-21,2023-12-20,2023-10-19,2023-10-19,2023-10-21,2023-10-21,AMOSTRA,Sá TRANSPORTES LTDA,PIX,376.5
2974,28850,Barros Pinto e Filhos,60.312.547/0001-54,Olivia Ramos,"('28NZFGQ7Z',)",KIT VENTILACAO,1,588.12,588.12,666028,2024-08-08,2024-09-14,2024-09-26,2024-09-26,2024-10-18,2024-08-16,2024-08-16,2024-08-20,2024-08-20,BONIFICACAO,Pimenta TRANSPORTES LTDA,CARTEIRA A VISTA,588.12
2975,98419,Fogaça,34.605.918/0001-86,Mariane Vargas,"('28NZFGQ7Z',)",KIT VENTILACAO,10,838.7,8387.0,580633,2024-07-22,2024-08-06,2024-08-09,2024-08-09,2024-08-30,2024-07-24,2024-07-24,2024-07-28,2024-07-28,BONIFICACAO,Carvalho TRANSPORTES LTDA,TRANSFERENCIA,8387.0
